,index,Source,Info Category,Project name,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub
119,458,IEA,Energy Project,Project Greensand phase 2,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",T&S,2020.0,,2030.0,,Planned,2.0,6.5,6.5,CO2 T&S,Dedicated storage,Project Greensand
120,42,IEA,Energy Project,Avedøre and Asnæs Power Station (Ørsted),Denmark,"Orsted, Aker CC (tech)",CCU,2021.0,,2025.0,,Planned,,0.4,0.4,Power and heat,Use,
121,447,IEA,Energy Project,Project Bifrost Phase 1,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021.0,,2030.0,,Planned,1.0,2.0,3.0,CO2 T&S,Dedicated storage,Project Bifrost
122,457,IEA,Energy Project,Project Greensand phase 1,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",T&S,2020.0,2024.0,2025.0,,Planned,1.0,1.5,1.5,CO2 T&S,Dedicated storage,Project Greensand
123,468,IEA,Energy Project,Projects Trelleborg and Fyrkat (2 storage sites) phase 2,Denmark,Capio Danmark,Storage,2022.0,,2030.0,,Planned,2.0,16.4,16.4,CO2 storage,Dedicated storage,NORNE
124,467,IEA,Energy Project,Projects Trelleborg and Fyrkat (2 storage sites) phase 1,Denmark,Capio Danmark,Storage,2022.0,,2026.0,,Planned,1.0,2.3,2.6,CO2 storage,Dedicated storage,NORNE
125,551,IEA,Energy Project,Vestforbrænding's Ejby incineration plant ,Denmark,Vestforbrænding,CCU,2019.0,,2025.0,,Planned,,0.45,0.45,Power and heat,Use,
126,501,IEA,Energy Project,SHARC Neste,Finland,"Neste
Oyj",Capture,2021.0,,2025.0,,Planned,,,,Other fuel transformation,Dedicated storage,Northern Lights
127,319,IEA,Energy Project,K6 Program- Lumbres cement plant,France,"EQIOM, Air Liquide, France Industries, VDZ",Capture,2021.0,2026.0,2028.0,,Planned,,0.81,0.81,Cement,Dedicated storage,
128,195,IEA,Energy Project,ECO2Normandy phase 3,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",Transport,2023.0,,2036.0,,Planned,3.0,0.65,0.65,CO2 transport,,ECO2Normandy/Nautilus
129,168,IEA,Energy Project,D'Artagnan Dunkirk CO2 Hub Phase 2,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021.0,,2031.0,,Planned,2.0,1.4,1.4,CO2 transport,,D'Artagnan/Nautilus
130,193,IEA,Energy Project,ECO2Normandy phase 1,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",Transport,2023.0,,2028.0,,Planned,1.0,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus
131,169,IEA,Energy Project,D'Artagnan Dunkirk CO2 Hub Phase 3,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021.0,,2035.0,,Planned,3.0,5.6,5.6,CO2 transport,,D'Artagnan/Nautilus
132,297,IEA,Energy Project,Hynovi project (Vicat Montalieu plant),France,Vicat,CCU,2021.0,,2025.0,,Planned,,0.5,0.5,Cement,Use,
133,473,IEA,Energy Project,PYCASSO hub phase 2 - northern and cross-border pipeline,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021.0,2025.0,2035.0,,Planned,2.0,3.4,3.4,CO2 T&S,Dedicated storage,PYCASSO hub
134,167,IEA,Energy Project,D'Artagnan Dunkirk CO2 Hub Phase 1,France,"ArcelorMittal, Port of Dunkerque, Chaux et Dolomines du boulonnais, Verdalis, Air Liquide",Transport,2021.0,,2027.0,,Planned,1.0,3.0,3.0,CO2 transport,,D'Artagnan/Nautilus
135,194,IEA,Energy Project,ECO2Normandy phase 2,France,"Air Liquide, Borealis, Esso, TotalEnergies, Yara",Transport,2023.0,,2031.0,,Planned,2.0,1.2,1.2,CO2 transport,,ECO2Normandy/Nautilus
136,472,IEA,Energy Project,PYCASSO hub phase 1 - eastern and western pipeline,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021.0,2025.0,2030.0,,Planned,1.0,2.5,2.5,CO2 T&S,Dedicated storage,PYCASSO hub
137,0,IEA,Energy Project,3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies",Capture,2019.0,,2025.0,,Planned,1.0,1.0,1.0,Iron and steel,Unknown/unspecified,
138,17,IEA,Energy Project,Air Liquide Total Energies Grandpuits biorefinery,France,"Air Liquide, Total Energies",CCU,2022.0,,,,Planned,,0.11,0.11,Other fuel transformation,Use,
139,78,IEA,Energy Project,CalCC Lhoist Air Liquide Lime plant Rety,France,"Air Liquide, Lhoist",Capture,2022.0,,2028.0,,Planned,,0.61,0.61,Other industry,Dedicated storage,D'Artagnan
140,31,IEA,Energy Project,Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),France,"Arcelor Mittal, Air Liquide",Capture,2020.0,,2030.0,,Planned,2.0,1.0,2.85,Iron and steel,Dedicated storage,
141,538,IEA,Energy Project,TotalEnergies Normandy hydrogen production unit,France,"TotalEnergies, Air Liquide",Capture,2021.0,,2030.0,,Planned,,0.65,0.65,Other fuel transformation,Unknown/unspecified,
142,80,IEA,Energy Project,Callisto phase 1,"France, Italy","Air Liquide, Snam, Eni, Elengy",Transport,2023.0,,2030.0,,Planned,1.0,3.6,3.6,CO2 transport,,Ravenna Hub
143,81,IEA,Energy Project,Callisto phase 2,"France, Italy","Air Liquide, Snam, Eni, Elengy",Transport,2023.0,,2040.0,,Planned,2.0,2.8,2.8,CO2 transport,,Ravenna Hub
144,232,IEA,Energy Project,German carbon transport grid,Germany,"Open Grid Europe (OGE), TES",Transport,2022.0,2023.0,2028.0,,Planned,,18.8,25.8,CO2 transport,,German Carbon transport grid
145,75,IEA,Energy Project,C Zero phase 2,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023.0,,,,Planned,2.0,1.2,1.2,CO2 transport,,C Zero/Nautilus
146,74,IEA,Energy Project,C Zero phase 1,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023.0,,,,Planned,1.0,1.2,1.2,CO2 transport,,C Zero/Nautilus
147,92,IEA,Energy Project,Carbon Clean CEMEX Rudersdorf plant phase 1,Germany,"CEMEX, carbon clean",CCU,2021.0,,2026.0,,Planned,1.0,0.1095,0.1095,Cement,Use,
148,93,IEA,Energy Project,Carbon Clean CEMEX Rudersdorf plant phase 2,Germany,"CEMEX, carbon clean",CCU,2021.0,,,,Planned,2.0,0.584,0.584,Cement,Use,
149,96,IEA,Energy Project,Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),Germany,"Holcim Group, Hyscale100 consortium",CCU,2020.0,,2027.0,,Planned,,1.0,1.0,Cement,Use,
150,275,IEA,Energy Project,Heidelberg Materials's Hanover cement plant (LEILAC 2),Germany,"Heidelberg Materials, Calix",Capture,2021.0,2023.0,2025.0,,Planned,,0.1,0.1,Cement,Use,
151,562,IEA,Energy Project,Wilhelmshaven Energy Hub BlueHyNow,Germany,Wintershall Dea,Capture,2022.0,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,WH2V eng hub
152,262,IEA,Energy Project,H2GE Rostock,Germany,"Equinor, VNG",Capture,2022.0,,,,Planned,,2.0,2.0,Hydrogen/ammonia,Dedicated storage,Northern Lights
153,263,IEA,Energy Project,H2morrow,Germany,"OGE, Equinor, Thyssenkrupp Steel Europe",Capture,2019.0,,2027.0,,Planned,,1.9,1.9,Hydrogen/ammonia,Dedicated storage,
154,76,IEA,Energy Project,C Zero phase 3,Germany,"Air Liquide, Lhoist, Duisport",Transport,2023.0,,,,Planned,3.0,0.3,0.3,CO2 transport,,C Zero/Nautilus
155,333,IEA,Energy Project,LafargeHolcim Hover cement works Hannover phase 2,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021.0,,2024.0,,Planned,1.0,0.194,0.184,Cement,Unknown/unspecified,
156,139,IEA,Energy Project,CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Germany,Wintershall Dea,Transport,2022.0,,2028.0,,Planned,,10.0,10.0,CO2 transport,,CO2nnectNow HES Wilhelmshaven Tank Terminal
157,334,IEA,Energy Project,LafargeHolcim Hover cement works Hannover phase 3,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021.0,,2028.0,,Planned,2.0,0.8,0.8,Cement,Unknown/unspecified,
158,490,IEA,Energy Project,Rohm chemical plant (x2),Germany,"Rohm, Aker carbon capture",CCU,2023.0,,,,Planned,,0.5,0.5,Other industry,Use,
159,564,IEA,Energy Project,Wintershall Dea-Equinor Gernany-Norway pipeline phase 1,"Germany, Norway","Wintershall Dea, Equinor",Transport,2022.0,,2032.0,,Planned,1.0,20.0,20.0,CO2 transport,,Wintershall Dea-Equinor Gernany-Norway pipeline
160,565,IEA,Energy Project,Wintershall Dea-Equinor Gernany-Norway pipeline phase 2,"Germany, Norway","Wintershall Dea, Equinor",Transport,2022.0,,2037.0,,Planned,2.0,20.0,20.0,CO2 transport,,Wintershall Dea-Equinor Gernany-Norway pipeline
161,566,IEA,Energy Project,Wintershell dea-Fluxys belgium-germany pipeline,"Germany, Norway","Wintershell dea, Fluxys",Transport,2023.0,,2030.0,,Planned,,30.0,30.0,CO2 transport,,Wintershell dea-Fluxys belgium-germany pipeline
162,283,IEA,Energy Project,Holcim Milaki Plant,Greece,Holcim Group,Capture,2023.0,,2027.0,,Planned,,1.0,1.0,Cement,Dedicated storage,Prinos CO2 storage
163,445,IEA,Energy Project,Prinos sigma plant,Greece,Energean,Capture,2022.0,,2025.0,,Planned,,1.0,1.0,Natural gas processing,Dedicated storage,Prinos CO2 storage
164,444,IEA,Energy Project,Prinos CCS phase 1,Greece,Energean,T&S,2021.0,,2025.0,,Planned,1.0,1.0,1.0,CO2 T&S,Dedicated storage,Prinos CO2 storage
165,443,IEA,Energy Project,Prinos CCS phase 1,Greece,Energean,T&S,2021.0,,2027.0,,Planned,2.0,2.0,2.0,CO2 T&S,Dedicated storage,Prinos CO2 storage
166,371,IEA,Energy Project,MOL Szank field CO2 EOR,Hungary,MOL group,Full chain,,,1992.0,,Operational,,0.16,0.16,Natural gas processing,EOR,
167,129,IEA,Energy Project,Climeworks Orca,Iceland,"Climeworks, CarbFix",Full chain,,,2021.0,,Operational,,0.004,0.004,Direct Air Capture,Dedicated storage,
168,144,IEA,Energy Project,Coda terminal Phase 2,Iceland,"Carbfix, Dan-unity CO2",T&S,2021.0,,2028.0,,Planned,2.0,0.5,0.5,CO2 T&S,Dedicated storage,Coda terminal
169,143,IEA,Energy Project,Coda terminal Phase 1,Iceland,"Carbfix, Dan-unity CO2",T&S,2021.0,2023.0,2026.0,,Planned,1.0,0.5,0.5,CO2 T&S,Dedicated storage,Coda terminal
170,125,IEA,Energy Project,Climeworks Mammoth Project,Iceland,"Climeworks, Carbfix",Full chain,2022.0,2022.0,2024.0,,Under construction,,0.036,0.036,Direct Air Capture,Dedicated storage,
171,145,IEA,Energy Project,Coda terminal phase 3,Iceland,"Carbfix, Dan-unity CO2",T&S,2021.0,,2031.0,,Planned,3.0,2.0,2.0,CO2 T&S,Dedicated storage,Coda terminal
172,165,IEA,Energy Project,Dalstur Energy Coal India coal hydrogen,India,"Dalstur Energy (Kolkata), Coal India (CIL)",Capture,2022.0,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
173,303,IEA,Energy Project,Indian Oil Corporation Koyali refinery,India,"Indian Oil Corporation (IOCL), Dastur, Air Liquide and BEG for FEED",Full chain,2021.0,,2025.0,,Planned,,0.7,0.7,Other fuel transformation,EOR and use,
174,44,IEA,Energy Project,Balikpapan Refinery,Indonesia,"Pertamina, Air Liquide",Full chain,2022.0,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
175,312,IEA,Energy Project,Jambaran Tiung Biru gas processing Sukowati oil field EOR,Indonesia,"Pertamina, Lemigas",Full chain,2020.0,2023.0,2028.0,,Planned,,0.9,2.0,Natural gas processing,EOR,
176,356,IEA,Energy Project,Marubeni Pertamina pulp mill BECCS project,Indonesia,"Marubeni Corp, Pertamina",Capture,2022.0,,,,Planned,,,,Other industry,Dedicated storage,
177,375,IEA,Energy Project,Muara Enim Downstream Coal to Dimethyl Ether (DME) Project,Indonesia,Pertamina,Capture,2021.0,,2024.0,,Planned,,,,Other fuel transformation,EOR,
178,307,IEA,Energy Project,Inpex Abadi LNG,Indonesia,"Inpex 65%, Shell (trying to find a buyer for its shares)",Capture,2018.0,,2030.0,,Planned,,2.413793103,2.413793103,Natural gas processing,Unknown/unspecified,
179,34,IEA,Energy Project,Arun CCS (Arun LNG),Indonesia,"PEMA, Tutuka Ariadji, Carbon Aceh",Full chain,2022.0,,2028.0,,Planned,,,,Natural gas processing,Dedicated storage,
180,485,IEA,Energy Project,Repsol Sakakemang Block carbon capture,Indonesia,"Repsol, Petronas, MOECO",Full chain,2021.0,2023.0,2027.0,,Planned,,1.5,2.0,Natural gas processing,Dedicated storage,
181,258,IEA,Energy Project,Gundih gas field EGR,Indonesia,"Pertamina, ITB, the Japan Group, Exxon?",Full chain,2020.0,,2026.0,,Planned,,0.3,0.3,Natural gas processing,EOR,
182,530,IEA,Energy Project,Tangguh LNG Vorwata LNG,Indonesia,"BP, Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC",Full chain,2021.0,2023.0,2027.0,,Planned,,2.5,3.3,Natural gas processing,EOR,
183,471,IEA,Energy Project,"PT Panca Amara Utama (PAU) Banggai ammonia plant, Luwuk Central Sulawesi",Indonesia,"JOGMEC, Mitsubishi, PT Panca Amara Utama, ITB",Full chain,2021.0,,2028.0,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
184,209,IEA,Energy Project,Ervia Cork CCS - Irving refinery,Ireland,"Irving Oil, Ervia Cork",Capture,2018.0,,2028.0,,Planned,,2.5,2.5,Other fuel transformation,Unknown/unspecified,Ervia Cork CCS
185,208,IEA,Energy Project,Ervia Cork CCS -  Aghada CCGT,Ireland,"Aghata, Ervia Cork",Capture,2018.0,,2028.0,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS
186,210,IEA,Energy Project,Ervia Cork CCS - Whitegate CCGT,Ireland,"Whitegate, Ervia Cork",Capture,2018.0,,2028.0,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS
187,202,IEA,Energy Project,ENI Casalborsetti (Ravenna) power plant (Ravenna phase 2),Italy,Eni,Capture,2020.0,,2027.0,,Planned,1.0,0.8,0.8,Power and heat,Dedicated storage,Ravenna Hub
188,73,IEA,Energy Project,Buzzi Unicem Augusta cement plant,Italy,Buzzi Unicem Spa,Capture,2022.0,,,,Planned,,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage
189,203,IEA,Energy Project,ENI Venice bio-refinery Porto Marghera (Ravenna phase 2),Italy,Eni,Capture,2020.0,,2027.0,,Planned,,0.3,0.3,Other fuel transformation,Dedicated storage,Ravenna Hub
190,480,IEA,Energy Project,Ravenna Hub phase 2,Italy,"Eni, Snam",T&S,2020.0,2023.0,2027.0,,Planned,2.0,3.975,3.975,CO2 T&S,Dedicated storage,Ravenna Hub
191,479,IEA,Energy Project,Ravenna Hub phase 1,Italy,"Eni, Snam",T&S,2020.0,2023.0,2023.0,,Planned,1.0,0.025,0.025,CO2 T&S,Dedicated storage,Ravenna Hub
192,40,IEA,Energy Project,Augusta C2 ,"Italy, Greece",Buzzi Unicem Spa,Transport,2022.0,,2029.0,,Planned,,0.2,0.2,CO2 transport,,Augusta-C2/Prinos CO2 storage
193,537,IEA,Energy Project,Tomakomai CCUS hub & cluster,Japan,"Idemitsu, Hokkaido Electric Power, JAPEX",Full chain,2023.0,,2030.0,,Planned,,,,CO2 T&S,Dedicated storage,
194,338,IEA,Energy Project,Large-Scale and Wide-Area Carbon Capture and Storage,Japan,"ITOCHU, Mitsubishi HI, INPEX, Taisei",T&S,2023.0,,2030.0,,Planned,,,,CO2 T&S,Dedicated storage,Large-Scale and Wide-Area Carbon Capture and Storage
195,367,IEA,Energy Project,Mikawa Power Plant BECCS Fukuoka Prefecture,Japan,"SIGMA Power Ariake (Toshiba), ESS",Capture,2016.0,2017.0,2020.0,,Operational,,0.18,0.18,Power and heat,Unknown/unspecified,
196,536,IEA,Energy Project,Tomakomai CCS demonstration project,Japan,Japan CCS,Full chain,2008.0,,2016.0,2019.0,Operational,,0.1,0.1,Hydrogen/ammonia,Dedicated storage,
197,200,IEA,Energy Project,Eneos J-Power coal power capture,Japan,"Eneos Holdings, J-Power",Full chain,2022.0,2026.0,,,Planned,,,,Power and heat,Dedicated storage,
198,385,IEA,Energy Project,Niigata East Port CCUS Hub & Cluster,Japan,JAPEX,T&S,2022.0,,2030.0,,Planned,,,,CO2 T&S,Dedicated storage,Niigata East Port CCUS Hub & Cluster
199,63,IEA,Energy Project,Boryeong LNG Terminal blue hydrogen,Korea,SK E&S,Full chain,2022.0,,2025.0,,Planned,,0.15,0.15,Hydrogen/ammonia,Dedicated storage,
200,181,IEA,Energy Project,Donghae CCS Project,Korea,"SK Innovation, Honeywell Tech, Hyundai, Korea National Oil Corp.",Full chain,2022.0,2024.0,2026.0,,Planned,,0.4,0.4,Other fuel transformation,Dedicated storage,
201,102,IEA,Energy Project,"CCS Baltic Constium, Klapeida terminal","Latvia, Lithuania",Kalipedos Nafta AB,Transport,2022.0,2024.0,2030.0,,Planned,,4.0,4.0,CO2 transport,,"CCS Baltic Constium, Klapeida terminal"
202,519,IEA,Energy Project,Structure A&E,Lybia,"Eni, National Oil Corporation (NOC) Libya",Full chain,2023.0,,2026.0,,Planned,,,,Natural gas processing,Dedicated storage,
203,53,IEA,Energy Project,BIGST gas fiels Cluster Heads of Agreement,Malaysia,"Petronas, JX Nippon",Full chain,2022.0,,,,Planned,,,,Natural gas processing,Dedicated storage,
204,423,IEA,Energy Project,Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),Malaysia,"Petronas, Technip, National Petroleum Construction Company, Baker Hughes (compressor)",Full chain,2020.0,2022.0,2025.0,,Under construction,,3.3,3.3,Natural gas processing,Dedicated storage,
205,261,IEA,Energy Project,H2biscus,Malaysia,"SEDC, Lotte Chemical, Samsung Engineering, POSCO
",Capture,2022.0,,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
206,182,IEA,Energy Project,Dos Bocas refinery,Mexico,Pemex,Capture,,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,
207,290,IEA,Energy Project,H-vision plant 2,Netherlands,H-Vision consortium,Capture,2018.0,,2030.0,,Planned,2.0,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos
208,289,IEA,Energy Project,H-vision plant 1,Netherlands,H-Vision consortium,Capture,2018.0,,2027.0,,Planned,1.0,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Porthos
209,28,IEA,Energy Project,Aramis CCS phase 1,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",T&S,2019.0,2025.0,2027.0,,Planned,1.0,5.0,5.0,CO2 T&S,Dedicated storage,Aramis CCS
210,571,IEA,Energy Project,Zeeland Refinery,Netherlands,"Air Liquide, TotalEnergies",Capture,2021.0,,,,Planned,,0.8,0.8,Other fuel transformation,Dedicated storage,
211,329,IEA,Energy Project,L10 CCS,Netherlands,"Neptune, EBN & Rosewood Exploration & XTO Netherlands (Feasibility study)",T&S,2021.0,2023.0,2026.0,,Planned,,4.0,5.0,CO2 T&S,Dedicated storage,L10 CCS
212,438,IEA,Energy Project,Porthos phase 2,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",T&S,2018.0,,,,Planned,2.0,2.5,2.5,CO2 T&S,Dedicated storage,Porthos
213,496,IEA,Energy Project,RWE Eemshaven power plant,Netherlands,RWE,Capture,2022.0,,2030.0,,Planned,,5.5,7.0,Power and heat,Dedicated storage,Noorkaap
214,141,IEA,Energy Project,"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022.0,,,,Planned,1.0,,,CO2 transport,,CO2TransPorts
215,437,IEA,Energy Project,Porthos phase 1,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",T&S,2018.0,2023.0,2025.0,,Planned,1.0,2.5,2.5,CO2 T&S,Dedicated storage,Porthos
216,140,IEA,Energy Project,"CO2TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022.0,,,,Planned,1.0,5.0,5.0,CO2 transport,,CO2TransPorts
217,381,IEA,Energy Project,Neptune Energy L10 Area CCS development phase 2,Netherlands,"Neptune Energy, EBN, Rosewood Exploration, and XTO Netherlands",T&S,2020.0,,,,Planned,2.0,3.0,3.0,CO2 T&S,Dedicated storage,Neptune Energy L10
218,292,IEA,Energy Project,Hydrogen 2 Magnum (H2M),Netherlands,"Nuon (Vattenfall sub.), Equinor, Gasunie",Capture,2017.0,,2025.0,,Planned,,1.3,1.3,Hydrogen/ammonia,Dedicated storage,Northern Lights
219,16,IEA,Energy Project,Air Liquide Botlek Rotterdam refinery,Netherlands,Air Liquide,Capture,2012.0,2023.0,2024.0,,Planned,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos
220,215,IEA,Energy Project,Exxonmobil Botlek Rotterdam refinery,Netherlands,Exxonmobil,Capture,2019.0,,2024.0,,Planned,,,,Other fuel transformation,Dedicated storage,Porthos
221,570,IEA,Energy Project,Yara Sluiskil fertiliser,Netherlands,Yara,Capture,2022.0,,2025.0,,Planned,,0.8,0.8,Other industry,Dedicated storage,Northern Lights
222,197,IEA,Energy Project,Eemshaven port terminal (NoordKaap) phase 1,Netherlands,"Cape Omega, Neptune Energy",T&S,2023.0,,2028.0,,Planned,1.0,8.0,8.0,CO2 T&S,Dedicated storage,Noorkaap
223,503,IEA,Energy Project,Shell Energy and Chemicals Park Rotterdam biodiesel & SAF (former Pernis),Netherlands,Shell,Capture,2021.0,2021.0,2024.0,,Under construction,,0.38,0.38,Biofuels,Dedicated storage,Porthos
224,494,IEA,Energy Project,RWE Amer power plant,Netherlands,RWE,Capture,2022.0,,2032.0,,Planned,,5.5,7.0,Power and heat,Dedicated storage,Noorkaap
225,380,IEA,Energy Project,Neptune Energy L10 Area CCS development phase 1,Netherlands,"Neptune Energy, EBN, Rosewood Exploration, and XTO Netherlands",T&S,2020.0,,,,Planned,1.0,5.0,5.0,CO2 T&S,Dedicated storage,Neptune Energy L10
226,542,IEA,Energy Project,Twence Hengelo facility,Netherlands,"Twence, Aker CC (tech)",CCU,2019.0,2021.0,2023.0,,Under construction,,0.1,0.1,Power and heat,Use,
227,29,IEA,Energy Project,Aramis CCS phase 2,Netherlands,"TotalEnergies, Shell, EBN, Gasunie",T&S,2019.0,,,,Planned,2.0,3.0,3.0,CO2 T&S,Dedicated storage,Aramis CCS
228,504,IEA,Energy Project,Shell heavy residue gasification CCU - Pernis refinery,Netherlands,Shell,CCU,,,1997.0,,Operational,,0.4,0.4,Other fuel transformation,Use,
229,173,IEA,Energy Project,Delta Rhyne Corridor_CO2,"Netherlands, Germany","Shell, Port of Rotterdam, bp, RWE, thyssenkrupp, LyondellBasell, Heidelberg Materials, Attero and Chemelot",Transport,2021.0,2024.0,2027.0,,Planned,,14.9,14.9,CO2 transport,,Connected to German Carbon Grid
230,465,IEA,Energy Project,Project Pouakai Hydrogen Production with CCS,New Zealand,"8Rivers, Toshiba, McDermott, Exelon, Oxy",Full chain,2018.0,,2024.0,,Planned,,1.0,1.0,Hydrogen/ammonia,Unknown/unspecified,
231,45,IEA,Energy Project,Barents Blue ammonia project Train 1,Norway,"Horisont Energi, Fertiberia",Capture,2021.0,2023.0,2025.0,,Planned,1.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
232,55,IEA,Energy Project,BIR Waste-to-Energy Bergen,Norway,"BIR, Aker Carbon Capture",Capture,2021.0,,,,Planned,,0.1,0.1,Power and heat,Unknown/unspecified,
233,394,IEA,Energy Project,Northern Lights Phase 1,Norway,"Shell, TotalEnergies, Equinor, Yara Slusiskil (Source of CO2) ",T&S,2017.0,2020.0,2024.0,,Under construction,1.0,1.5,1.5,CO2 T&S,Dedicated storage,Northern Lights
234,540,IEA,Energy Project,Trudvang storage project,Norway,"Sval (40%), Storegga (30%), Netptune energy (30%)",T&S,2023.0,,2029.0,,Planned,,9.0,9.0,CO2 T&S,Dedicated storage,Trudvang storage project
235,408,IEA,Energy Project,Oslo Waste to Energy Capture Klemetsrud,Norway,Hafslund Oslo Celsio (formerly Fortum Oslo Varme),Capture,2016.0,2022.0,2025.0,,Under construction,,0.4,0.4,Power and heat,Dedicated storage,Northern Lights
236,46,IEA,Energy Project,Barents Blue ammonia project Train 2,Norway,"Horisont Energi, Fertiberia",Capture,2021.0,,,,Planned,2.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
237,41,IEA,Energy Project,Aukra Hydrogen Hub,Norway,"Aker, Shell, CapeOmega",Capture,2021.0,2024.0,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,
238,395,IEA,Energy Project,Northern Lights Phase 2,Norway,"Shell, TotalEnergies, Equinor",T&S,2017.0,,2026.0,,Planned,2.0,3.7,3.7,CO2 T&S,Dedicated storage,Northern Lights
239,62,IEA,Energy Project,Borregaard / SAE (Borg CO2),Norway,"Borg Havn, Borregaard",Capture,2019.0,,,,Planned,,0.15,0.15,Power and heat,Dedicated storage,Northern Lights
240,433,IEA,Energy Project,Polaris offshore storage facility,Norway,"Horisont Energi, Fertiberia ",Storage,2021.0,2023.0,,,Planned,,,,CO2 storage,Dedicated storage,Polaris offshore storage facility
241,47,IEA,Energy Project,Barents Blue ammonia project Train 3,Norway,"Horisont Energi, Fertiberia",Capture,2021.0,,,,Planned,3.0,1.84,2.0,Hydrogen/ammonia,Dedicated storage,Polaris offshore storage facility
242,126,IEA,Energy Project,Climeworks Norsk e fuel phase 1,Norway,"Sunfire GmbH, Climeworks AG, Paul Wurth SA (SMS group), Valinor (Norsk Vind)",CCU,2020.0,2023.0,2024.0,,Planned,1.0,0.03,0.03,Direct Air Capture,Use,
243,327,IEA,Energy Project,Kollsnes DAC facility,Norway,"Carbon Removal, Carbon Engineering, Oxy Low Carbon Ventures ",Full chain,2021.0,,,,Planned,,0.5,1.0,Direct Air Capture,Dedicated storage,
244,563,IEA,Energy Project,Wintershall Dea Luna storage,Norway,"Wintershall Dea (60%), CapeOmega (40%)",Storage,2022.0,2025.0,,,Planned,,5.0,5.0,CO2 storage,Dedicated storage,Wintershall dea Luna
245,354,IEA,Energy Project,Lyse Forus Energigjenvinning Stavanger ,Norway,"Lyse, Forus Energi, Aker CC (tech)",Capture,2021.0,,2024.0,,Planned,,0.1,0.1,Power and heat,Dedicated storage,
246,137,IEA,Energy Project,CO2 TO METHANOL Finnfjord Ferrosilicon,Norway,"Statkraft, Carbon Recycling International",CCU,2017.0,2023.0,,,Planned,,0.3,0.3,Iron and steel,Use,
